  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   SLprs,_inHG ;   SLtmp,_degC ;   _wind,speed ;   _wind,__dir ;   __trb,_locl ;   _prec,_locl ;   _hail,_locl ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
5.07452;24.97059;24.99129;24.99128;5.83965;28.75946;28.75946;29.92;15;0;0;0;0;0;-36.78143;-73.06829;56.78353;0.29247;1;47.61921;-36.5;-73;12.93883;0.76326;0.05899;4.36808;130.20132;98.11072;53.41679;16.23352;3.41761;-0.54327;3.95232;2.71541;1.33458;0.47675;0.13939;0.13818; 
11.40817;29.96158;29.98643;29.98637;13.12829;34.50777;34.50777;29.92;15;0;0;0;0;0;-36.78131;-73.06828;56.83975;0.31072;1;47.6436;-36.5;-73;12.14894;0.60087;0.04946;4.76437;153.66905;119.34246;76.03995;26.5134;3.21773;0.67294;4.75593;3.38702;1.89841;0.71141;0.15813;0.16258; 
17.83148;34.79187;34.82072;34.82071;20.5201;40.07098;40.07097;29.92;15;0;0;0;0;0;-36.78116;-73.0683;56.81222;0.29735;1;47.65356;-36.5;-73;12.77438;0.57265;0.04483;5.74895;173.5643;136.72263;100.7184;32.72799;2.5699;1.47575;5.38297;3.90825;2.47193;0.92326;0.17509;0.18442; 
24.08593;39.36158;39.39423;39.39421;27.7176;45.33407;45.33408;29.92;15;0;0;0;0;0;-36.78099;-73.06834;56.82187;0.30882;0;47.66764;-36.5;-73;12.06545;0.49045;0.04065;6.33332;196.95386;156.78941;134.07423;39.95708;2.0017;3.00124;6.20156;4.53696;3.33409;1.15673;0.19097;0.20759; 
29.59245;42.17334;42.20821;42.20816;34.05439;48.57235;48.57235;29.92;15;0;0;0;0;0;-36.78081;-73.06843;56.64528;0.3407;0;47.62091;-36.5;-73;10.52702;0.3952;0.03754;6.19192;201.44246;159.14246;152.2394;40.06499;0.18289;4.05764;6.30073;4.58609;3.69251;1.24953;0.19599;0.21586; 
33.35754;44.02979;44.06606;44.06602;38.38717;50.71032;50.71032;29.92;15;0;0;0;0;0;-36.78063;-73.06853;56.44714;0.27325;0;47.4798;-36.5;-73;11.24944;0.41176;0.0366;7.20009;199.18161;160.56415;165.93793;39.95674;1.11434;2.45362;6.1938;4.64137;3.99603;1.31789;0.19464;0.20475; 
35.93998;45.2497;45.28684;45.28652;41.35899;52.11517;52.11516;29.92;15;0;0;0;0;0;-36.78044;-73.06863;56.22204;0.30189;0;47.28913;-36.5;-73;11.5633;0.42444;0.03671;8.00357;197.59029;166.70435;173.65828;53.68597;1.84;2.70079;6.20993;4.97723;4.1615;1.48228;0.19055;0.20051; 
37.56673;45.97522;46.01279;46.01242;43.23102;52.95058;52.95058;29.92;15;0;0;0;0;0;-36.78025;-73.06876;55.98488;0.30995;0;47.06945;-36.5;-73;11.43536;0.40037;0.03501;7.25983;196.38495;164.89111;179.97513;55.78844;1.91734;2.75662;6.24642;4.97721;4.31917;1.53423;0.18759;0.19782; 
38.759;47.05059;47.08886;47.08864;44.60307;54.18889;54.1889;29.92;15;0;0;0;0;0;-36.78007;-73.0689;55.71416;0.32843;0;46.82701;-36.5;-73;11.44593;0.38959;0.03404;7.05278;209.76567;169.5435;195.39752;53.1383;2.0777;3.07329;6.78518;5.10435;4.77951;1.56715;0.19692;0.20929; 
40.28456;48.7871;48.82658;48.82621;46.35865;56.18863;56.18864;29.92;15;0;0;0;0;0;-36.77988;-73.06905;55.44808;0.29942;0;46.55821;-36.5;-73;11.88475;0.41997;0.03534;7.24407;230.53188;190.40158;202.66119;71.98037;1.84792;4.27626;7.46721;5.8124;4.89103;1.82034;0.21635;0.236; 
